//Ann Tupek
//CS680
//HW0
//pairs list: plaintext|key
bumbaily|lucre
bumbaily|lucrece
bumbaily|lucretia
bumbaily|lucretias
bumbaily|lucretius
dower|jasons
dowerd|jasons
dowerless|jasons
dowers|jasons
dowery|jasons
ducdame|jumpeth
foiled|hag
fowler|has
gallant|godhead
gallant|godheads
gallantly|godhead
gallantly|godheads
gallantry|godhead
gallantry|godheads
gallants|godhead
gallants|godheads
gallantspringing|godhead
gallantspringing|godheads
gallantst|godhead
gallantst|godheads
games|gocommends
gamesome|gocommends
gamester|gocommends
gocommends|games
gocommends|gamesome
gocommends|gamester
godhead|gallant
godhead|gallantly
godhead|gallantry
godhead|gallants
godhead|gallantspringing
godhead|gallantst
godheads|gallant
godheads|gallantly
godheads|gallantry
godheads|gallants
godheads|gallantspringing
godheads|gallantst
jasons|dower
jasons|dowerd
jasons|dowerless
jasons|dowers
jasons|dowery
jumpeth|ducdame
lashd|bowl
tames|tocome
tavern|totonce
tavernbills|totonce
tavernreckonings|totonce
taverns|totonce
tocome|tames
totonce|tavern
totonce|tavernbills
totonce|tavernreckonings
totonce|taverns
tubal|tuns
valance|rods
